domains1,qty_sent,delivered,bounced,Textbox33,opened,Textbox34,click,Textbox35,unsub,Textbox37,complaints,Textbox54,gross_opens,gross_clicks,all_click_activity,total_clicks_negated,Textbox16,qty_sent1,delivered1,bounced1,Textbox38,opened1,Textbox39,click1,Textbox40,unsub1,Textbox41,Textbox44,Textbox58,Textbox5,Textbox12,Textbox56,Textbox49,Textbox19
tyson.com,85863,82688,3174,0.036965864,34261,0.414340654,5823,0.070421343,18,0.000217686,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
cargill.com,70653,70627,26,0.000367996,25352,0.358956207,3844,0.054426777,17,0.000240701,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
smithfield.com,39810,39697,113,0.002838483,11568,0.291407411,761,0.019170214,1,2.51908204650225E-05,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
jbssa.com,38361,37826,535,0.013946456,8546,0.225929255,1097,0.029001216,5,0.000132184,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
hormel.com,22218,22149,69,0.00310559,3633,0.164025464,1318,0.059506073,1,4.51487651812723E-05,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
perdue.com,17654,17543,111,0.006287527,8307,0.473522203,550,0.031351536,2,0.000114006,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
pilgrims.com,13484,13377,107,0.007935331,2963,0.221499589,314,0.023473126,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
nationalbeef.com,13053,13029,24,0.001838658,3463,0.265791695,1164,0.089339166,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
americanfoodsgroup.com,8747,8745,2,0.00022865,2964,0.338936535,659,0.075357347,3,0.000343053,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
usda.gov,8577,8488,89,0.010376589,2714,0.319745523,449,0.052898209,5,0.000589067,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
seaboardfoods.com,8238,8238,0,0,541,0.065671279,187,0.022699684,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
clemensfoodgroup.com,7917,7899,18,0.002273588,121,0.015318395,69,0.008735283,1,0.000126598,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
butterball.com,7889,7849,40,0.005070351,1367,0.174162314,519,0.066123073,1,0.000127405,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
simfoods.com,7676,7673,3,0.000390829,2785,0.362961032,665,0.086667536,1,0.000130327,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
mountaire.com,6869,6857,12,0.001746979,1582,0.23071314,525,0.076564095,9,0.001312527,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
kochfoods.com,6761,6761,0,0,1030,0.152344328,342,0.050584233,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
sealedair.com,6366,6350,16,0.002513352,2106,0.331653543,489,0.077007874,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
icloud.com,6280,6277,3,0.000477707,4381,0.697944878,319,0.050820456,12,0.001911741,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
johnsonville.com,5957,5945,12,0.002014437,1372,0.23078217,294,0.049453322,2,0.000336417,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
marel.com,5921,5920,1,0.00016889,1260,0.212837838,136,0.022972973,7,0.001182432,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
mapleleaf.com,5727,5727,0,0,1503,0.262441069,108,0.018858041,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
j-ots.com,5334,5319,15,0.002812148,860,0.161684527,415,0.078022185,1,0.000188005,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
bunzlusa.com,5275,5268,7,0.001327014,3200,0.607441154,108,0.020501139,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
boarshead.com,5032,5032,0,0,386,0.076709062,134,0.026629571,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
usfoods.com,4629,4627,2,0.000432059,913,0.197320078,179,0.038685974,2,0.000432246,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
sbcglobal.net,4473,4473,0,0,2583,0.577464789,341,0.076235189,4,0.000894254,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
greateromaha.com,4410,4410,0,0,708,0.160544218,306,0.069387755,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
waynefarms.com,4394,4393,1,0.000227583,996,0.226724334,292,0.066469383,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
